Epoch,Loss,Accuracy
0,0.600849,0.7802
1,0.369306,0.8637166666666667
2,0.32052398,0.8823
3,0.291219,0.8922833333333333
4,0.2672855,0.9009333333333334
5,0.24952132,0.9075833333333333
6,0.2367749,0.9115833333333333
7,0.224035,0.91635
8,0.21538463,0.9205166666666666
9,0.20566446,0.9229833333333334
10,0.19618484,0.9259166666666667
11,0.19045067,0.9288833333333333
12,0.18388875,0.9304333333333333
13,0.17763384,0.93335
14,0.17205699,0.9358333333333333
15,0.1632401,0.93955
16,0.16104333,0.93905
17,0.15650095,0.9395333333333333
18,0.1524039,0.94255
19,0.14894724,0.9431333333333334
20,0.1454854,0.9453333333333334
21,0.13889247,0.9469166666666666
22,0.13899107,0.9469666666666666
23,0.1355478,0.9491666666666667
24,0.13202377,0.95095
25,0.12903588,0.9512166666666667
26,0.12884231,0.9502666666666667
27,0.12291388,0.9529333333333333
28,0.12289991,0.9529333333333333
29,0.119263716,0.9551833333333334
